Module,License Type,Status,Region,Valid,Swipe Enhanced,Last Checked
AuditQR,MIT,valid,GLOBAL,true,false,2025-10-01T20:25:23.947Z
CanvasAuditOverlay,MIT,valid,GLOBAL,true,false,2025-10-01T20:25:23.949Z
CanvasSwipe,MIT,valid,GLOBAL,true,false,2025-10-01T20:25:23.951Z
ConsentLedger,MIT,valid,GLOBAL,true,false,2025-10-01T20:25:23.952Z
DiscoveryEngine,MIT,valid,GLOBAL,true,false,2025-10-01T20:25:23.952Z
EdgeRelay,MIT,valid,GLOBAL,true,false,2025-10-01T20:25:23.953Z
GeoFenceGate,MIT,valid,GLOBAL,true,false,2025-10-01T20:25:23.953Z
GlobalMeetingClock,MIT,valid,GLOBAL,true,false,2025-10-01T20:25:23.954Z
KeyVaultBridge,MIT,valid,GLOBAL,true,false,2025-10-01T20:25:23.954Z
LicensePulse,MIT,valid,GLOBAL,true,false,2025-10-01T20:25:23.954Z
NEMO_PATHFINDER,MIT,valid,GLOBAL,true,false,2025-10-01T20:25:23.955Z
NomadicMap,MIT,valid,GLOBAL,true,false,2025-10-01T20:25:23.956Z
OutageSimulator,MIT,valid,GLOBAL,true,false,2025-10-01T20:25:23.956Z
QRMeetingGenerator,MIT,valid,GLOBAL,true,false,2025-10-01T20:25:23.957Z
RegulatorySync,MIT,valid,GLOBAL,true,false,2025-10-01T20:25:23.957Z
RFPolicyWatch,MIT,valid,GLOBAL,true,false,2025-10-01T20:25:23.958Z
RFValidationEngine,MIT,valid,GLOBAL,true,false,2025-10-01T20:25:23.959Z
SignalMirror,MIT,valid,GLOBAL,true,true,2025-10-01T20:25:23.959Z
TelemetryLens,MIT,valid,GLOBAL,true,false,2025-10-01T20:25:23.960Z
TimeSyncGuardian,MIT,valid,GLOBAL,true,false,2025-10-01T20:25:23.962Z
VoiceEcho,MIT,valid,GLOBAL,true,false,2025-10-01T20:25:23.966Z
WebRTCSwitchboard,MIT,valid,GLOBAL,true,true,2025-10-01T20:25:23.966Z
